Região,Variável,Número de comparações,Erro médio,Erro absoluto médio,RMSE,Erro máximo absoluto
Costa Norte 2025 Antares,Densidade,2266,0.004161110163803363,0.004161110163803363,0.0042812690669905935,0.0054978587784262345
Nordeste Cruzeiro do Sul,Densidade,2218,0.003476147387074669,0.0035687902943535945,0.004032396144831187,0.038833955163227074
Nordeste Cruzeiro do Sul,Velocidade do som,2218,-0.2578313104023228,0.2666796167193457,0.29618832879738344,1.1617562292967705
